country,name,teams,maps,rounds,K/D Diff,K/D,Rating 1.0
Russia,donk,Spirit,117,2717,631,1.34,1.3
Ukraine,s1mple,Natus Vincere,1303,34684,7636,1.36,1.24
France,ZywOo,Vitality,917,24240,5259,1.36,1.24
Russia,sh1ro,Gambit,625,16549,3721,1.42,1.2
Russia,deko,Aurora,153,3942,662,1.28,1.16
Denmark,device,Astralis,1458,38237,5777,1.24,1.16
Russia,m0NESY,G2,288,7483,1210,1.27,1.16
Bosnia and Herzegovina,NiKo,G2,1562,41449,4915,1.18,1.14
Brazil,coldzera,SK,1176,31021,4030,1.21,1.12
Denmark,blameF,Astralis,779,20985,2584,1.2,1.11
Russia,degster,Spirit,325,8877,1129,1.21,1.11
Romania,regali,OG,88,2351,306,1.22,1.11
Czech Republic,oskar,SINNERS,926,24434,2596,1.16,1.11
Estonia,ropz,FaZe,1284,33792,4041,1.19,1.11
Russia,El1an,Entropiq,358,9660,1182,1.2,1.11
Brazil,KSCERATO,FURIA,700,18364,2227,1.2,1.11
Turkey,XANTARES,Eternal Fire,1199,31963,2720,1.12,1.11
Russia,Jame,Virtus.pro,974,25613,3752,1.27,1.11
Russia,xsepower,FORZE,460,12656,1609,1.22,1.1
Ukraine,w0nderful,Natus Vincere,154,3888,520,1.24,1.1
Russia,ArtFr0st,Spirit,82,2008,276,1.26,1.1
Bulgaria,h4rn,Fiend,101,2717,275,1.16,1.09
Spain,SunPayus,ENCE,318,8283,959,1.2,1.09
Slovakia,frozen,MOUZ,782,20413,1976,1.16,1.09
Israel,Spinx,Vitality,478,12555,1181,1.15,1.09
Russia,Ax1Le,Cloud9,655,17237,1551,1.14,1.09
France,kennyS,G2,1136,30371,2940,1.15,1.09
Turkey,woxic,Eternal Fire,816,21410,2058,1.16,1.08
Slovakia,GuardiaN,FaZe,843,22104,2012,1.15,1.08
Finland,Jimpphat,MOUZ,94,2204,229,1.18,1.08
Canada,Twistzz,Liquid,1350,35798,2886,1.13,1.08
Bulgaria,dream3r,Fiend,379,10020,883,1.14,1.08
Poland,mantuu,OG,451,12014,1225,1.17,1.07
Brazil,HEN1,Immortals,755,19741,2007,1.17,1.07
Bosnia and Herzegovina,huNter-,G2,930,24800,1642,1.1,1.07
Uruguay,dgt,9z,119,3117,292,1.15,1.07
Hungary,torzsi,MOUZ,298,7594,759,1.17,1.07
Argentina,try,9z,70,1857,129,1.11,1.07
United States,Brehze,NRG,776,20640,1248,1.09,1.07
Russia,electroNic,Natus Vincere,1253,33007,2298,1.11,1.07
